District,Size m2,Rooms,Price,Price/m2
 Mokotów,40.0,2,1700.0,42.5
 Bielany,37.0,2,1600.0,43.24
 Śródmieście,40.0,2,1800.0,45.0
 Praga-Północ,51.27,2,2600.0,50.71
 Bemowo,20.0,1,1500.0,75.0
 Wilanów,57.0,2,2500.0,43.86
 Śródmieście,28.0,1,1499.0,53.54
 Bielany,46.0,2,2100.0,45.65
 Wola,38.0,2,1850.0,48.68
 Bielany,60.0,2,2500.0,41.67
 Ursynów,63.0,3,2300.0,36.51
 Bielany,45.0,2,2300.0,51.11
 Rembertów,30.0,1,1600.0,53.33
 Ursus,30.0,1,1250.0,41.67
 Praga-Południe,39.0,2,1900.0,48.72
 Bielany,38.0,2,1800.0,47.37
 Wola,45.0,3,2200.0,48.89
 Mokotów,47.0,2,2200.0,46.81
 Ursus,56.0,3,2400.0,42.86
 Ursynów,45.0,2,2000.0,44.44
 Ursynów,36.0,1,1750.0,48.61
 Praga-Południe,50.0,3,2200.0,44.0
 Białołęka,37.0,1,1300.0,35.14
 Białołęka,34.0,1,1250.0,36.76
 Targówek,44.5,2,1300.0,29.21
 Bemowo,40.0,2,1800.0,45.0
 Wola,43.0,2,2160.0,50.23
 Białołęka,28.0,1,1600.0,57.14
 Mokotów,24.0,1,1000.0,41.67
 Ursynów,50.0,2,2300.0,46.0
 Mokotów,47.0,2,2550.0,54.26
 Ursynów,53.0,2,2650.0,50.0
 Śródmieście,47.25,3,2350.0,49.74
 Żoliborz,26.0,1,1500.0,57.69
 Bemowo,61.8,3,2900.0,46.93
 Wola,44.0,2,2050.0,46.59
 Praga-Południe,65.0,3,4000.0,61.54
 Wola,51.0,2,1500.0,29.41
 Mokotów,53.0,2,1990.0,37.55
 Targówek,35.0,2,1750.0,50.0
 Ursynów,22.0,1,1800.0,81.82
 Wola,38.8,2,1600.0,41.24
 Mokotów,51.0,2,2550.0,50.0
 Wola,47.0,2,2100.0,44.68
 Targówek,48.0,2,2000.0,41.67
 Włochy,30.0,1,1300.0,43.33
 Śródmieście,27.0,1,1500.0,55.56
 Ursynów,46.0,2,1800.0,39.13
 Wola,28.0,1,2500.0,89.29
 Bielany,55.0,2,2200.0,40.0
 Mokotów,40.0,2,1350.0,33.75
